tem,Category,Refrigeration Required,Weight (lbs),Price,Country of Origin,Manufacturer
Macadamia Nuts,Miscellaneous,No,1,$7.00 ,United States,Nut Co.
Brussels Sprouts,Fruits and Vegetables,Yes,1,$2.00 ,Colombia,Veggie Co.
Coffee,Beverages,No,1,$5.00 ,Brazil,Beverage Co.
Maple Syrup,Snacks and Sweets,Yes,1,$4.00 ,Canada,Snacks Co.
Flaxseed,Miscellaneous,No,1,$4.00 ,Canada,Seed Co.
Tofu,Miscellaneous,Yes,1,$3.00 ,United States,
Bok Choy,Fruits and Vegetables,Yes,1,$1.20 ,United States,Veggie Co.
Cabbage,Fruits and Vegetables,Yes,1,$1.00 ,United States,Veggie Co.
Chives,Fruits and Vegetables,Yes,0.1,$1.00 ,United States,Herb Co.
Garlic,Fruits and Vegetables,No,0.25,$1.00 ,United States,Veggie Co.
Ginger,Fruits and Vegetables,No,0.1,$1.00 ,United States,Veggie Co.
Mandarin Oranges,Fruits and Vegetables,Yes,1,$2.00 ,United States,Fruit Co.
Rice Vinegar,Condiments and Spices,No,1,$3.00 ,United States,Condiment Co.
Soy Sauce,Condiments and Spices,No,1,$3.00 ,United States,Condiment Co.
Pineapple,Fruits and Vegetables,Yes,2,$3.00 ,United States,Fruit Co.
Banana,Fruits and Vegetables,No,0.3,$0.40 ,Ecuador,Banana Co.
Cheese,Dairy and Eggs,Yes,1,$3.50 ,United States,Dairy Co.
Baguette,Bakery and Grains,No,0.5,$2.00 ,United States,Bakery Co.
Champagne,Beverages,Yes,3,$20.00 ,France,Beverage Co.
Croissants,Bakery and Grains,Yes,0.1,$1.50 ,United States,Bakery Co.
Shallots,Fruits and Vegetables,Yes,1,$2.00 ,United States,Veggie Co.
Tarragon,Condiments and Spices,No,0.1,$2.00 ,United States,Herb Co.
White Wine,Beverages,Yes,3,$10.00 ,United States,Beverage Co.
Sausages,Meat and Seafood,Yes,1,$4.00 ,United States,Meat Co.
Gummy Bears,Snacks and Sweets,No,0.25,$1.50 ,United States,Snacks Co.
Pretzels,Snacks and Sweets,No,0.5,$2.00 ,United States,Snacks Co.
Yogurt,Dairy and Eggs,Yes,0.5,$1.00 ,United States,Dairy Co.
Feta Cheese,Dairy and Eggs,Yes,1,$4.00 ,United States,Dairy Co.
Olive Oil,Condiments and Spices,No,1,$6.00 ,United States,Condiment Co.
Olives,Condiments and Spices,Yes,1,$3.00 ,United States,Condiment Co.
Oregano,Condiments and Spices,No,0.1,$1.00 ,United States,Herb Co.
Rice,Bakery and Grains,No,1,$1.00 ,United States,Rice Co.
Cashews,Miscellaneous,No,1,$5.00 ,United States,Nut Co.
Lentils,Canned and Packaged Goods,No,1,$2.00 ,United States,Bean Co.
Naan Bread,Bakery and Grains,Yes,1,$2.50 ,United States,Bakery Co.
Sesame Seeds,Condiments and Spices,No,1,$3.00 ,United States,Seed Co.
Pasta,Bakery and Grains,No,1,$1.50 ,United States,Pasta Co.
Basil,Fruits and Vegetables,Yes,0.25,$1.00 ,United States,Herb Co.
Lasagna,Frozen Foods,Yes,1.5,$3.50 ,United States,Frozen Co.
Nutella,Snacks and Sweets,No,1,$5.00 ,United States,Snacks Co.
Pizza,Frozen Foods,Yes,1,$5.00 ,United States,Frozen Co.
Prosciutto,Meat and Seafood,Yes,1,$5.00 ,United States,Meat Co.
Spaghetti,Bakery and Grains,No,1,$1.50 ,United States,Pasta Co.
Whole Wheat Pasta,Bakery and Grains,No,1,$1.50 ,United States,Pasta Co.
Ramen Noodles,Canned and Packaged Goods,No,0.5,$1.00 ,United States,Noodle Co.
Shirataki Noodles,Canned and Packaged Goods,Yes,0.5,$2.50 ,United States,Noodle Co.
Sushi Rice,Canned and Packaged Goods,No,1,$3.00 ,United States,Rice Co.
Vanilla Extract,Condiments and Spices,No,1,$5.00 ,Madagascar,Condiment Co.
Rosemary,Condiments and Spices,Yes,0.1,$1.50 ,United States,Herb Co.
Tomatoes,Fruits and Vegetables,No,1,$1.20 ,Mexico,Veggie Co.
Avocado,Fruits and Vegetables,Yes,0.25,$1.50 ,Mexico,Fruit Co.
Lime,Fruits and Vegetables,No,0.1,$0.30 ,Mexico,Citrus Farms
Mango,Fruits and Vegetables,Yes,0.5,$1.50 ,Mexico,Fruit Co.
Guacamole,Snacks and Sweets,Yes,0.5,$3.00 ,Mexico,Snacks Co.
Jalapeno Peppers,Fruits and Vegetables,Yes,1,$1.50 ,Mexico,Veggie Co.
Papaya,Fruits and Vegetables,Yes,1,$2.50 ,Mexico,Fruit Co.
Pumpkin Seeds,Snacks and Sweets,No,1,$4.00 ,Mexico,Nut Co.
